Key,Text
"LOC_VSIndicator_1","Green"
"LOC_VSIndicator_2","Red"
"LOC_VSIndicator_3","Orange"
"LOC_VSIndicator_4","Yellow"
"LOC_VSIndicator_5","Cyan"
"LOC_VSIndicator_6","Blue"
"LOC_VSIndicator_7","Magenta"
"LOC_VSIndicator_8","Pink"
"LOC_VSIndicator_9","White"
"LOC_VSIndicator_10","Surface"
"LOC_VSIndicator_11","Select Colour Preferences"
"LOC_VSIndicator_12","Ascending Colour = "
"LOC_VSIndicator_13","Descending Colour = "
"LOC_VSIndicator_14","Safe Velocity Colour = "
"LOC_VSIndicator_15","Safe Velocity, m/s2 = "
"LOC_VSIndicator_16","Button Settings"
"LOC_VSIndicator_17","Vertikal Speed Indicator"
"LOC_VSIndicator_18","EnabledForSave"
